Label,X,Y
A1,139,431
A2,167,432
A3,195,430
A4,226,430
A5,255,431
A6,281,434
A7,307,429
A8,341,429
A9,363,431
A10,387,432
A11,422,432
A12,448,430
A13,479,433
A14,502,432
A15,536,431
A16,557,431
A17,588,434
A18,620,434
A19,642,434
A20,676,433
A21,701,433
A22,732,432
A23,763,432
A24,788,433
A25,814,431
A26,846,431
A27,873,432
A28,898,433
A29,930,432
A30,955,433
A31,982,431
A32,1014,430
A33,1042,433
A34,1068,434
A35,1093,434
A36,1122,432
A37,1152,431
A38,1176,432
A39,1202,432
A40,1231,429
B1,139,396
B2,165,397
B17,588,397
B18,613,398
B19,647,395
B20,675,400
B21,696,400
B22,729,400
B23,755,397
B24,788,394
B39,1205,395
B40,1237,397
C1,136,370
C2,161,369
C17,587,366
C18,610,369
C19,642,369
C20,667,369
C21,696,368
C22,730,365
C23,759,366
C24,788,365
C39,1203,372
C40,1229,365
D1,141,340
D2,165,340
D17,586,334
D18,613,337
D19,640,337
D20,672,339
D21,691,339
D22,726,336
D23,759,332
D24,784,334
D39,1204,334
D40,1233,334
E1,135,307
E2,167,308
E17,585,306
E18,617,303
E19,641,303
E20,672,303
E21,696,305
E22,727,304
E23,758,302
E24,784,305
E39,1205,307
E40,1232,301
F1,139,268
F2,169,274
F17,582,274
F18,619,273
F19,643,269
F20,672,275
F21,696,274
F22,727,274
F23,755,272
F24,783,272
F39,1201,275
F40,1237,274
G1,140,239
G2,167,237
G3,197,239
G4,219,237
G5,249,237
G6,283,237
G7,311,238
G8,333,240
G9,365,235
G10,396,236
G11,419,238
G12,451,238
G13,481,238
G14,503,238
G15,532,240
G16,563,237
G17,586,239
G18,616,237
G19,647,237
G20,674,235
G21,704,237
G22,733,238
G23,751,239
G24,780,240
G25,813,238
G26,840,237
G27,865,239
G28,896,237
G29,925,239
G30,957,235
G31,986,237
G32,1012,242
G33,1042,239
G34,1073,237
G35,1096,238
G36,1124,240
G37,1157,238
G38,1178,237
G39,1203,239
G40,1232,239
